1/1/2000-08-05 18:44:20.111/food001/20.40/10.09/1
1/1/2019-02-21 14:09:27.101/COFEE007/2.25/0.56/1
2/1/2019-02-21 14:26:24.014/COFEE005/3.50/0.88/1
3/1/2019-02-21 14:28:31.046/COFEE003/3.50/0.88/1
4/1/2019-02-21 14:28:31.046/COFEE003/3.50/0.88/1
5/1/2019-02-21 14:28:31.046/COFEE003/3.50/0.88/1
6/1/2019-02-21 14:28:31.046/COFEE003/3.50/0.88/1
7/2/2019-02-21 15:36:07.089/COFEE001/3.00/0.75/2
8/2/2019-02-21 15:37:45.729/COFEE004/3.25/0.81/2
9/2/2019-02-21 15:37:45.729/COFEE004/3.25/0.81/2
10/8/2019-02-21 15:38:34.037/COFEE001/3.00/0.75/8
11/8/2019-02-21 15:38:34.037/COFEE001/3.00/0.75/8
12/8/2019-02-21 15:38:34.037/COFEE001/3.00/0.75/8
13/8/2019-02-21 15:39:10.027/COFEE003/3.50/0.88/8
14/8/2019-02-21 15:39:10.027/COFEE003/3.50/0.88/8
15/8/2019-02-21 15:39:10.027/COFEE003/3.50/0.88/8
16/8/2019-02-21 15:41:20.267/COFEE003/3.50/0.88/8
17/8/2019-02-21 15:41:20.267/COFEE003/3.50/0.88/8
18/100/2019-02-21 15:47:46.008/COFEE001/3.00/0.45/100
19/100/2019-02-21 15:47:46.008/COFEE001/3.00/0.45/100
20/100/2019-02-21 15:47:46.008/COFEE001/3.00/0.45/100
21/80/2019-02-21 15:52:35.452/COFEE002/2.75/0.41/80
22/80/2019-02-21 15:52:35.452/COFEE002/2.75/0.41/80
23/89/2019-02-21 15:55:11.968/COFEE003/3.50/0.53/89
24/89/2019-02-21 15:55:11.968/COFEE003/3.50/0.53/89
25/89/2019-02-21 15:55:11.968/COFEE003/3.50/0.53/89
26/1/2019-03-03 00:00:30.741/COFEE004/3.25/2.03/1
27/1/2019-03-03 00:00:30.741/COFEE004/3.25/2.03/1
28/1/2019-03-03 12:12:29.713/COFEE005/3.50/0.88/2
